,strain_db,strain_api,error details,organism_type
3274,9458,14815,--,2
3275,9459,14816,--,2
3276,9460,14817,--,2
3277,9481,14818,--,2
3278,9482,14819,--,2
3279,9483,14820,--,2
3280,9484,14821,--,2
3281,9485,14822,--,2
3282,9486,14823,--,2
3283,9489,14824,--,2
3284,9497,14825,--,2
3285,9498,14826,--,2
3286,9499,14827,--,2
3287,9500,14828,--,2
3288,9501,14829,--,2
3289,9502,14830,--,2
3290,9503,14831,--,2
3291,9504,14832,--,2
3292,9505,14833,--,2
3293,9506,14834,--,2
3294,9507,14835,--,2
3295,9508,14836,--,2
3296,9509,14837,--,2
3297,9510,14838,--,2
3298,9511,14839,--,2
3299,9512,14840,--,2
3300,9513,14841,--,2
3301,9514,14842,--,2
3302,9515,14843,--,2
3303,9516,14844,--,2
3304,9517,14845,--,2
3305,9535,14846,--,2
3306,9536,14847,--,2
3307,9537,14848,--,2
3308,9538,14849,--,2
3309,9539,14850,--,2
3310,9540,14851,--,2
3311,9541,14852,--,2
3312,9550,14853,--,2
3313,9551,14854,--,2
3314,9552,14855,--,2
3315,9553,14856,--,2
3316,9554,14857,--,2
3317,9555,14858,--,2
3318,9556,14859,--,2
3319,9557,14860,--,2
3320,9558,14861,--,2
3321,9559,14862,--,2
3322,9560,14863,--,2
3323,9566,14864,--,2
3324,9567,14865,--,2
3325,9568,14866,--,2
3326,9569,14867,--,2
3327,9570,14868,--,2
3328,9571,14869,--,2
3329,9572,14870,--,2
3330,9573,14871,--,2
3331,9574,14872,--,2
3332,9578,14873,--,2
3333,9579,14874,--,2
3334,9580,14875,--,2
3335,9591,14876,--,2
3336,9592,14877,--,2
3337,9593,14878,--,2
3338,9594,14879,--,2
3339,9595,14880,--,2
3340,9598,14881,--,2
3341,9599,14882,--,2
3342,9600,14883,--,2
3343,9601,14884,--,2
3344,9602,14885,--,2
3345,9603,14886,--,2
3346,9604,14887,--,2
3347,9605,14888,--,2
3348,9606,14889,--,2
3349,9607,14890,--,2
3350,9608,14891,--,2
3351,9609,14892,--,2
3352,9611,14893,--,2
3353,9612,14894,--,2
3354,9613,14895,--,2
3355,9614,14896,--,2
3356,9616,14897,--,2
3357,9617,14898,--,2
3358,9618,14899,--,2
3359,9619,14900,--,2
3360,9620,14901,--,2
3361,9621,14902,--,2
3362,9622,14903,--,2
3363,9623,14904,--,2
3364,9624,14905,--,2
3365,9625,14906,--,2
3366,9626,14907,--,2
3367,9627,14908,--,2
3368,9628,14909,--,2
3369,9630,14910,--,2
3370,9631,14911,--,2
3371,9632,14912,--,2
3372,9633,14913,--,2
3373,9634,14914,--,2
3374,9636,14915,--,2
3375,9637,14916,--,2
3376,9638,14917,--,2
3377,9639,14918,--,2
3378,9640,14919,--,2
3379,9641,14920,--,2
3380,9642,14921,--,2
3381,9643,14922,--,2
3382,9644,14923,--,2
3383,9649,14924,--,2
3384,9650,14925,--,2
3385,9651,14926,--,2
3386,9652,14927,--,2
3387,9653,14928,--,2
3388,9660,14929,--,2
3389,9664,14930,--,2
3390,9667,14931,--,2
3391,9668,14932,--,2
3392,9669,14933,--,2
3393,9670,14934,--,2
3394,9671,14935,--,2
3395,9672,14936,--,2
3396,9673,14937,--,2
3397,9674,14938,--,2
3398,9675,14939,--,2
3399,9676,14940,--,2
3400,9677,14941,--,2
3401,9692,14942,--,2
3402,9694,14943,--,2
3403,9705,14944,--,2
3404,9711,14945,--,2
3405,9715,14946,--,2
3406,9716,14947,--,2
3407,9723,14948,--,2
3408,9726,14949,--,2
3409,9729,14950,--,2
3410,9730,14951,--,2
3411,9735,14952,--,2
3412,9738,14953,--,2
3413,9746,14954,--,2
3414,9752,14955,--,2
3415,9759,14956,--,2
3416,9768,14957,--,2
3417,9774,14958,--,2
3418,9776,14959,--,2
3419,9784,14960,--,2
3420,9790,14961,--,2
3421,9794,14962,--,2
3422,9795,14963,--,2
3423,9798,14964,--,2
3424,9804,14965,--,2
3425,9813,14966,--,2
3426,9818,14967,--,2
3427,9823,14968,--,2
3428,9824,14969,--,2
3429,9825,14970,--,2
3430,9826,14971,--,2
3431,9827,14972,--,2
3432,9828,14973,--,2
3433,9829,14974,--,2
3434,9830,14975,--,2
3435,9831,14976,--,2
3436,9832,14977,--,2
3437,9833,14978,--,2
3438,9834,14979,--,2
3439,9835,14980,--,2
3440,9836,14981,--,2
3441,9837,14982,--,2
3442,9838,14983,--,2
3443,9839,14984,--,2
3444,9840,14985,--,2
3445,9841,14986,--,2
3446,9842,14987,--,2
3447,9843,14988,--,2
3448,9844,14989,--,2
3449,9845,14990,--,2
3450,9846,14991,--,2
3451,9847,14992,--,2
3452,9848,14993,--,2
3453,9849,14994,--,2
3454,9850,14995,--,2
3455,9851,14996,--,2
3456,9852,14997,--,2
3457,9853,14998,--,2
3458,9854,14999,--,2
3459,9855,15000,--,2
3460,10053,15001,--,2
3461,10054,15002,--,2
3462,10055,15003,--,2
3463,10056,15004,--,2
3464,10057,15005,--,2
3465,10058,15006,--,2
3466,10059,15007,--,2
3467,10061,15008,--,2
3468,4574,15009,-1,3
3469,6734,15010,--,1
3470,6735,15011,--,1
3471,4774,15012,--,1
3472,8711,15013,--,1
3473,8712,15014,--,1
3474,8713,15015,--,1
3475,8714,15016,--,1
3476,8715,15017,--,1
3477,8716,15018,--,1
3478,8717,15019,--,1
3479,8718,15020,--,1
3480,8719,15021,--,1
3481,8720,15022,--,1
3482,8721,15023,--,1
3483,8722,15024,--,1
3484,8723,15025,--,1
3485,8724,15026,--,1
3486,8725,15027,--,1
3487,8726,15028,--,1
3488,8727,15029,--,1
3489,8728,15030,--,1
3490,8729,15031,--,1
3491,8730,15032,--,1
3492,9417,15033,--,1
3493,9418,15034,--,1
3494,5144,15035,--,1
3495,8371,15036,--,1
3496,8372,15037,--,1
3497,8373,15038,--,1
3498,8374,15039,--,1
3499,8375,15040,--,1
3500,8376,15041,--,1
3501,8377,15042,--,1
3502,8378,15043,--,1
3503,8379,15044,--,1
3504,8380,15045,--,1
3505,8381,15046,--,1
3506,8382,15047,--,1
3507,8383,15048,--,1
3508,8384,15049,--,1
3509,8385,15050,--,1
3510,8386,15051,--,1
3511,8387,15052,--,1
3512,8388,15053,--,1
3513,8389,15054,--,1
3514,8390,15055,--,1
3515,8511,15056,--,1
3516,8499,15057,--,1
3517,8500,15058,--,1
3518,8501,15059,--,1
3519,8502,15060,--,1
3520,8503,15061,--,1
3521,8504,15062,--,1
3522,8505,15063,--,1
3523,8506,15064,--,1
3524,8507,15065,--,1
3525,8508,15066,--,1
3526,8509,15067,--,1
3527,8510,15068,--,1
3528,8512,15069,--,1
3529,8513,15070,--,1
3530,8514,15071,--,1
3531,8515,15072,--,1
3532,9419,15073,--,1
3533,4581,15074,--,1
3534,4583,15075,--,1
3535,7410,15076,--,1
3536,4641,15077,--,1
3537,4890,15078,--,1
3538,4882,15079,--,1
3539,4883,15080,--,1
3540,4884,15081,--,1
3541,4885,15082,--,1
3542,4886,15083,--,1
3543,4887,15084,--,1
3544,4888,15085,--,1
3545,4889,15086,--,1
3546,4891,15087,--,1
3547,4892,15088,--,1
3548,4893,15089,--,1
3549,4894,15090,--,1
3550,4895,15091,--,1
3551,4898,15092,--,1
3552,4900,15093,--,1
3553,6375,15094,--,1
3554,6408,15095,--,1
3555,4896,15096,--,1
3556,4899,15097,--,1
3557,4897,15098,--,1
3558,4901,15099,--,1
3559,6068,15100,--,1
3560,6078,15101,--,1
3561,6278,15102,--,1
3562,6326,15103,--,1
3563,6391,15104,--,1
3564,5845,15105,--,1
3565,4589,15106,--,1
3566,4693,15107,--,1
3567,4694,15108,--,1
3568,4695,15109,--,1
3569,4696,15110,--,1
3570,4697,15111,--,1
3571,4698,15112,--,1
3572,4700,15113,--,1
3573,4702,15114,--,1
3574,4703,15115,--,1
3575,4704,15116,--,1
3576,4705,15117,--,1
3577,4706,15118,--,1
3578,4699,15119,--,1
3579,4701,15120,--,1
3580,5137,15121,--,1
3581,6250,15122,--,1
3582,4624,15123,--,1
3583,4625,15124,--,1
3584,4626,15125,--,1
3585,4627,15126,--,1
3586,9148,15127,--,1
3587,9149,15128,--,1
3588,4649,15129,--,1
3589,4650,15130,--,1
3590,4651,15131,--,1
3591,4675,15132,--,1
3592,4718,15133,--,1
3593,4719,15134,--,1
3594,4720,15135,--,1
3595,4721,15136,--,1
3596,4722,15137,--,1
3597,4723,15138,--,1
3598,4724,15139,--,1
3599,4725,15140,--,1
3600,4726,15141,--,1
3601,4727,15142,--,1
3602,4728,15143,--,1
3603,4729,15144,--,1
3604,4730,15145,--,1
3605,4731,15146,--,1
3606,4732,15147,--,1
3607,4733,15148,--,1
3608,4734,15149,--,1
3609,4735,15150,--,1
3610,4934,15151,--,1
3611,5186,15152,--,1
3612,5187,15153,--,1
3613,5188,15154,--,1
3614,5189,15155,--,1
3615,5190,15156,--,1
3616,5191,15157,--,1
3617,5192,15158,--,1
3618,5193,15159,--,1
3619,5194,15160,--,1
3620,5195,15161,--,1
3621,5196,15162,--,1
3622,5197,15163,--,1
3623,5198,15164,--,1
3624,5199,15165,--,1
3625,5200,15166,--,1
3626,5201,15167,--,1
3627,5202,15168,--,1
3628,5203,15169,--,1
3629,5204,15170,--,1
3630,5205,15171,--,1
3631,5344,15172,--,1
3632,6062,15173,--,1
3633,6063,15174,--,1
3634,6065,15175,--,1
3635,6064,15176,--,1
3636,6066,15177,--,1
3637,6513,15178,--,1
3638,6693,15179,--,1
3639,6694,15180,--,1
3640,6695,15181,--,1
3641,6696,15182,--,1
3642,6697,15183,--,1
3643,6698,15184,--,1
3644,6699,15185,--,1
3645,6700,15186,--,1
3646,6701,15187,--,1
3647,6702,15188,--,1
3648,6703,15189,--,1
3649,6704,15190,--,1
3650,6705,15191,--,1
3651,6706,15192,--,1
3652,6707,15193,--,1
3653,6708,15194,--,1
3654,6709,15195,--,1
3655,6710,15196,--,1
3656,6711,15197,--,1
3657,6712,15198,--,1
3658,7084,15199,--,1
3659,7085,15200,--,1
3660,7086,15201,--,1
3661,7087,15202,--,1
3662,7088,15203,--,1
3663,7089,15204,--,1
3664,7090,15205,--,1
3665,7091,15206,--,1
3666,7092,15207,--,1
3667,7093,15208,--,1
3668,7094,15209,--,1
3669,7095,15210,--,1
3670,7096,15211,--,1
3671,7097,15212,--,1
3672,7098,15213,--,1
3673,7099,15214,--,1
3674,7100,15215,--,1
3675,7101,15216,--,1
3676,7275,15217,--,1
3677,7276,15218,--,1
3678,7277,15219,--,1
3679,7278,15220,--,1
3680,7279,15221,--,1
3681,7280,15222,--,1
3682,7281,15223,--,1
3683,7282,15224,--,1
3684,7283,15225,--,1
3685,7284,15226,--,1
3686,7285,15227,--,1
3687,7286,15228,--,1
3688,7287,15229,--,1
3689,7288,15230,--,1
3690,7289,15231,--,1
3691,7290,15232,--,1
3692,7291,15233,--,1
3693,7292,15234,--,1
3694,7293,15235,--,1
3695,7392,15236,--,1
3696,7422,15237,--,1
3697,7496,15238,--,1
3698,7497,15239,--,1
3699,7498,15240,--,1
3700,7499,15241,--,1
3701,7500,15242,--,1
3702,7501,15243,--,1
3703,7505,15244,--,1
3704,7506,15245,--,1
3705,7508,15246,--,1
3706,7509,15247,--,1
3707,7510,15248,--,1
3708,7511,15249,--,1
3709,7512,15250,--,1
3710,8082,15251,--,1
3711,8426,15252,--,1
3712,8427,15253,--,1
3713,8428,15254,--,1
3714,8429,15255,--,1
3715,8430,15256,--,1
3716,8431,15257,--,1
3717,8432,15258,--,1
3718,6714,15259,--,1
3719,6728,15260,--,1
3720,6729,15261,--,1
3721,6730,15262,--,1
3722,6731,15263,--,1
3723,6732,15264,--,1
3724,6715,15265,--,1
3725,6716,15266,--,1
3726,6717,15267,--,1
3727,6718,15268,--,1
3728,6719,15269,--,1
3729,6720,15270,--,1
3730,6721,15271,--,1
3731,6722,15272,--,1
3732,6723,15273,--,1
3733,6724,15274,--,1
3734,6725,15275,--,1
3735,6726,15276,--,1
3736,6727,15277,--,1
3737,7651,15278,--,1
3738,7652,15279,--,1
3739,7653,15280,--,1
3740,7654,15281,--,1
3741,7655,15282,--,1
3742,7656,15283,--,1
3743,7657,15284,--,1
3744,7658,15285,--,1
3745,7659,15286,--,1
3746,7660,15287,--,1
3747,6733,15288,--,1
3748,6783,15289,--,1
3749,6787,15290,--,1
3750,6788,15291,--,1
3751,6792,15292,--,1
3752,6793,15293,--,1
3753,6796,15294,--,1
3754,6797,15295,--,1
3755,6798,15296,--,1
3756,6800,15297,--,1
3757,7412,15298,--,1
3758,7413,15299,--,1
3759,6784,15300,--,1
3760,6785,15301,--,1
3761,6802,15302,--,1
3762,6786,15303,--,1
3763,6789,15304,--,1
3764,6801,15305,--,1
3765,6790,15306,--,1
3766,6791,15307,--,1
3767,6794,15308,--,1
3768,6795,15309,--,1
3769,6799,15310,--,1
3770,6836,15311,--,1
3771,6837,15312,--,1
3772,6838,15313,--,1
3773,6839,15314,--,1
3774,6840,15315,--,1
3775,6841,15316,--,1
3776,6842,15317,--,1
3777,6843,15318,--,1
3778,6844,15319,--,1
3779,6845,15320,--,1
3780,6846,15321,--,1
3781,6847,15322,--,1
3782,6848,15323,--,1
3783,6849,15324,--,1
3784,6850,15325,--,1
3785,6851,15326,--,1
3786,6852,15327,--,1
3787,6853,15328,--,1
3788,6854,15329,--,1
3789,6855,15330,--,1
3790,7218,15331,--,1
3791,7420,15332,--,1
3792,7662,15333,--,1
3793,9977,15334,--,1
3794,9978,15335,--,1
3795,9979,15336,--,1
3796,9980,15337,--,1
3797,9981,15338,--,1
3798,7149,15339,--,1
3799,7150,15340,--,1
3800,7151,15341,--,1
3801,7152,15342,--,1
3802,7153,15343,--,1
3803,7154,15344,--,1
3804,7155,15345,--,1
3805,7156,15346,--,1
3806,7435,15347,--,1
3807,7436,15348,--,1
3808,7437,15349,--,1
3809,7438,15350,--,1
3810,7439,15351,--,1
3811,7440,15352,--,1
3812,7441,15353,--,1
3813,7442,15354,--,1
3814,7443,15355,--,1
3815,7444,15356,--,1
3816,7236,15357,--,1
3817,7237,15358,--,1
3818,7238,15359,--,1
3819,7239,15360,--,1
3820,7240,15361,--,1
3821,7241,15362,--,1
3822,7242,15363,--,1
3823,7243,15364,--,1
3824,7523,15365,--,1
3825,8121,15366,--,1
3826,7463,15367,--,1
3827,7465,15368,--,1
3828,7466,15369,--,1
3829,7467,15370,--,1
3830,7468,15371,--,1
3831,7608,15372,--,1
3832,7975,15373,--,1
3833,7976,15374,--,1
3834,7977,15375,--,1
3835,7978,15376,--,1
3836,7979,15377,--,1
3837,7980,15378,--,1
3838,8411,15379,--,1
3839,8413,15380,--,1
3840,8412,15381,--,1
3841,6804,15382,--,1
3842,6805,15383,--,1
3843,6806,15384,--,1
3844,6807,15385,--,1
3845,6808,15386,--,1
3846,6809,15387,--,1
3847,6810,15388,--,1
3848,6811,15389,--,1
3849,6812,15390,--,1
3850,6813,15391,--,1
3851,6814,15392,--,1
3852,6815,15393,--,1
3853,6816,15394,--,1
3854,6817,15395,--,1
3855,6818,15396,--,1
3856,6819,15397,--,1
3857,6820,15398,--,1
3858,6821,15399,--,1
3859,6822,15400,--,1
3860,6823,15401,--,1
3861,7414,15402,--,1
3862,7415,15403,--,1
3863,7416,15404,--,1
3864,7417,15405,--,1
3865,7418,15406,--,1
3866,7419,15407,--,1
3867,7862,15408,--,1
3868,8037,15409,--,1
3869,8112,15410,--,1
3870,8423,15411,--,1
3871,8653,15412,--,1
3872,8787,15413,--,1
3873,9635,15414,--,1
3874,9679,15415,--,1
3875,9680,15416,--,1
3876,9681,15417,--,1
3877,9686,15418,--,1
3878,9690,15419,--,1
3879,9691,15420,--,1
3880,9695,15421,--,1
3881,9696,15422,--,1
3882,9698,15423,--,1
3883,9700,15424,--,1
3884,9701,15425,--,1
3885,9718,15426,--,1
3886,9719,15427,--,1
3887,9724,15428,--,1
3888,9728,15429,-1,3
3889,9743,15430,--,1
3890,9749,15431,--,1
3891,9750,15432,--,1
3892,9756,15433,--,1
3893,9758,15434,--,1
3894,9765,15435,--,1
3895,9767,15436,--,1
3896,9775,15437,--,1
3897,9777,15438,--,1
3898,9779,15439,--,1
3899,9785,15440,--,1
3900,9793,15441,--,1
3901,9797,15442,--,1
3902,9800,15443,--,1
3903,9801,15444,--,1
3904,9806,15445,--,1
3905,9807,15446,--,1
3906,9808,15447,--,1
3907,9810,15448,--,1
3908,9811,15449,--,1
3909,9812,15450,--,1
3910,9816,15451,--,1
3911,9822,15452,--,1
3912,9970,15453,--,1
3913,9971,15454,--,1
3914,9972,15455,--,1
3915,9973,15456,--,1
3916,9974,15457,--,1
3917,9975,15458,--,1
3918,9976,15459,--,1
3919,9744,15460,--,1
3920,6758,15461,--,1
3921,6759,15462,--,1
3922,6760,15463,--,1
3923,7595,15464,--,1
3924,7596,15465,--,1
3925,7597,15466,--,1
3926,7598,15467,--,1
3927,7599,15468,--,1
3928,7600,15469,--,1
3929,7601,15470,--,1
3930,7602,15471,--,1
3931,7603,15472,--,1
3932,7604,15473,--,1
3933,8913,15474,--,1
3934,8914,15475,--,1
3935,8915,15476,--,1
3936,8916,15477,--,1
3937,6762,15478,--,1
3938,6781,15479,--,1
3939,6763,15480,--,1
3940,6764,15481,--,1
3941,6765,15482,--,1
3942,6766,15483,--,1
3943,6767,15484,--,1
3944,6768,15485,--,1
3945,6769,15486,--,1
3946,6770,15487,--,1
3947,6771,15488,--,1
3948,6772,15489,--,1
3949,6773,15490,--,1
3950,6774,15491,--,1
3951,6775,15492,--,1
3952,6776,15493,--,1
3953,6777,15494,--,1
3954,6778,15495,--,1
3955,6779,15496,--,1
3956,6780,15497,--,1
3957,8032,15498,--,1
3958,6826,15499,--,1
3959,6827,15500,--,1
3960,6828,15501,-1,3
3961,6829,15502,--,1
3962,6830,15503,--,1
3963,6831,15504,--,1
3964,6832,15505,--,1
3965,6833,15506,--,1
3966,6834,15507,--,1
3967,6857,15508,--,1
3968,6860,15509,--,1
3969,6861,15510,--,1
3970,6862,15511,--,1
3971,6863,15512,--,1
3972,6864,15513,--,1
3973,6865,15514,--,1
3974,6866,15515,--,1
3975,6867,15516,--,1
3976,10060,15517,--,1
3977,6858,15518,--,1
3978,6859,15519,--,1
3979,6878,15520,--,1
3980,6870,15521,--,1
3981,6871,15522,--,1
3982,6872,15523,--,1
3983,6873,15524,--,1
3984,6874,15525,--,1
3985,6875,15526,--,1
3986,6876,15527,--,1
3987,6877,15528,--,1
3988,6879,15529,--,1
3989,6880,15530,--,1
3990,6881,15531,--,1
3991,6882,15532,--,1
3992,6883,15533,--,1
3993,6884,15534,--,1
3994,6885,15535,--,1
3995,6886,15536,--,1
3996,6887,15537,--,1
3997,6888,15538,--,1
3998,6889,15539,--,1
3999,6913,15540,--,1
4000,6914,15541,--,1
4001,6915,15542,--,1
4002,6916,15543,--,1
4003,6917,15544,--,1
4004,6918,15545,--,1
4005,7023,15546,--,1
4006,7024,15547,-1,3
4007,7025,15548,--,1
4008,7026,15549,--,1
4009,7027,15550,--,1
4010,7028,15551,--,1
4011,7029,15552,--,1
4012,7030,15553,--,1
4013,7031,15554,--,1
4014,7032,15555,--,1
4015,7033,15556,--,1
4016,7034,15557,--,1
4017,7035,15558,--,1
4018,7036,15559,--,1
4019,7037,15560,--,1
4020,7038,15561,--,1
4021,7039,15562,--,1
4022,7040,15563,--,1
4023,7041,15564,--,1
4024,7081,15565,--,1
4025,7196,15566,--,1
4026,7197,15567,--,1
4027,7198,15568,--,1
4028,7199,15569,--,1
4029,7200,15570,--,1
4030,7201,15571,--,1
4031,7202,15572,--,1
4032,7203,15573,--,1
4033,7204,15574,--,1
4034,7205,15575,--,1
4035,7206,15576,--,1
4036,7207,15577,--,1
4037,7208,15578,--,1
4038,7209,15579,--,1
4039,7210,15580,--,1
4040,7211,15581,--,1
4041,7212,15582,--,1
4042,7213,15583,--,1
4043,7214,15584,--,1
4044,7215,15585,--,1
4045,8042,15586,--,1
4046,7342,15587,--,1
4047,7344,15588,--,1
4048,7425,15589,--,1
4049,7343,15590,--,1
4050,7345,15591,--,1
4051,7348,15592,--,1
4052,7353,15593,--,1
4053,7424,15594,--,1
4054,7426,15595,--,1
4055,7427,15596,--,1
4056,7346,15597,--,1
4057,7356,15598,--,1
4058,7347,15599,--,1
4059,7349,15600,--,1
4060,7350,15601,--,1
4061,7351,15602,--,1
4062,7352,15603,--,1
4063,7354,15604,--,1
4064,7355,15605,--,1
4065,7357,15606,-1,3
4066,8635,15607,--,1
4067,8636,15608,--,1
4068,8637,15609,--,1
4069,8638,15610,--,1
4070,8639,15611,--,1
4071,8640,15612,--,1
4072,8641,15613,--,1
4073,8642,15614,--,1
4074,8643,15615,--,1
4075,8644,15616,--,1
4076,8645,15617,--,1
4077,8646,15618,--,1
4078,8647,15619,--,1
4079,8648,15620,--,1
4080,8649,15621,--,1
4081,8650,15622,--,1
4082,7612,15623,--,1
4083,7613,15624,--,1
4084,7614,15625,--,1
4085,7615,15626,--,1
4086,7616,15627,--,1
4087,7617,15628,--,1
4088,7618,15629,--,1
4089,7619,15630,--,1
4090,7620,15631,--,1
4091,7621,15632,--,1
4092,7622,15633,--,1
4093,7623,15634,--,1
4094,8855,15635,--,1
4095,8858,15636,--,1
4096,8859,15637,--,1
4097,8856,15638,--,1
4098,8857,15639,--,1
4099,8496,15640,--,1
4100,9378,15641,--,1
4101,9388,15642,--,1
4102,9390,15643,--,1
4103,9393,15644,--,1
4104,9379,15645,--,1
4105,9395,15646,--,1
4106,9380,15647,--,1
4107,9381,15648,--,1
4108,9382,15649,--,1
4109,9394,15650,--,1
4110,9383,15651,--,1
4111,9384,15652,--,1
4112,9385,15653,--,1
4113,9386,15654,--,1
4114,9387,15655,--,1
4115,9392,15656,--,1
4116,9389,15657,--,1
4117,9391,15658,--,1
4118,6893,15659,--,1
4119,6894,15660,--,1
4120,6895,15661,--,1
4121,6896,15662,--,1
4122,6897,15663,--,1
4123,9561,15664,--,1
4124,9562,15665,--,1
4125,9563,15666,--,1
4126,9564,15667,--,1
4127,9565,15668,--,1
4128,6899,15669,--,1
4129,7982,15670,--,1
4130,9253,15671,--,1
4131,7691,15672,--,1
4132,7692,15673,--,1
4133,7693,15674,--,1
4134,7694,15675,--,1
4135,6902,15676,--,1
4136,6903,15677,--,1
4137,8815,15678,--,1
4138,8816,15679,--,1
4139,9107,15680,--,1
4140,9108,15681,--,1
4141,6937,15682,--,1
4142,6938,15683,--,1
4143,6939,15684,--,1
4144,6940,15685,--,1
4145,6941,15686,--,1
4146,6942,15687,--,1
4147,6943,15688,--,1
4148,6944,15689,--,1
4149,6945,15690,--,1
4150,6946,15691,--,1
4151,6947,15692,--,1
4152,6948,15693,--,1
4153,6949,15694,--,1
4154,6950,15695,--,1
4155,6951,15696,--,1
4156,6952,15697,--,1
4157,6953,15698,--,1
4158,6954,15699,--,1
4159,6955,15700,--,1
4160,6956,15701,--,1
4161,7390,15702,--,1
4162,7421,15703,--,1
4163,8807,15704,--,1
4164,7771,15705,--,1
4165,7772,15706,--,1
4166,7773,15707,--,1
4167,7774,15708,--,1
4168,7775,15709,--,1
4169,7776,15710,--,1
4170,7984,15711,--,1
4171,7985,15712,--,1
4172,7986,15713,--,1
4173,7988,15714,--,1
4174,7989,15715,--,1
4175,7990,15716,--,1
4176,7991,15717,--,1
4177,7992,15718,--,1
4178,7993,15719,--,1
4179,7994,15720,--,1
4180,7995,15721,--,1
4181,7996,15722,--,1
4182,7997,15723,--,1
4183,7998,15724,--,1
4184,7999,15725,--,1
4185,8000,15726,--,1
4186,8001,15727,--,1
4187,8002,15728,--,1
4188,8003,15729,--,1
4189,9610,15730,--,1
4190,8013,15731,--,1
4191,8212,15732,--,1
4192,8213,15733,--,1
4193,8214,15734,--,1
4194,8215,15735,--,1
4195,8216,15736,--,1
4196,8217,15737,--,1
4197,8218,15738,--,1
4198,8219,15739,--,1
4199,8220,15740,--,1
4200,8221,15741,--,1
4201,8222,15742,--,1
4202,8223,15743,--,1
4203,8224,15744,--,1
4204,8225,15745,--,1
4205,8226,15746,--,1
4206,8227,15747,--,1
4207,8228,15748,--,1
4208,8229,15749,--,1
4209,8230,15750,--,1
4210,8231,15751,--,1
4211,8745,15752,--,1
4212,8746,15753,--,1
4213,8747,15754,--,1
4214,8748,15755,--,1
4215,8749,15756,--,1
4216,8750,15757,--,1
4217,8751,15758,--,1
4218,8752,15759,--,1
4219,8885,15760,--,1
4220,8886,15761,--,1
4221,8887,15762,--,1
4222,8888,15763,--,1
4223,8889,15764,--,1
4224,8890,15765,--,1
4225,8891,15766,--,1
4226,8892,15767,--,1
4227,8893,15768,--,1
4228,8894,15769,--,1
4229,8895,15770,--,1
4230,8896,15771,--,1
4231,8897,15772,--,1
4232,8898,15773,--,1
4233,8899,15774,--,1
4234,8900,15775,--,1
4235,8901,15776,--,1
4236,8902,15777,--,1
4237,8903,15778,--,1
4238,8904,15779,--,1
4239,9262,15780,--,1
4240,9263,15781,--,1
4241,9264,15782,--,1
4242,9265,15783,--,1
4243,10052,15784,--,1
4244,9287,15785,--,1
4245,9288,15786,--,1
4246,9289,15787,--,1
4247,9290,15788,--,1
4248,9291,15789,--,1
4249,9332,15790,--,1
4250,9333,15791,--,1
4251,9334,15792,--,1
4252,9335,15793,--,1
4253,9336,15794,--,1
4254,9372,15795,--,1
4255,9373,15796,--,1
4256,9374,15797,--,1
4257,9375,15798,--,1
4258,9575,15799,--,1
4259,9576,15800,--,1
4260,9577,15801,--,1
4261,9581,15802,--,1
4262,9582,15803,--,1
4263,9583,15804,--,1
4264,9584,15805,--,1
4265,9585,15806,--,1
4266,9586,15807,--,1
4267,9587,15808,--,1
4268,9588,15809,--,1
4269,9589,15810,--,1
4270,9590,15811,--,1
4271,9924,15812,--,1
4272,9925,15813,--,1
4273,9926,15814,--,1
4274,9927,15815,--,1
4275,9928,15816,--,1
4276,9929,15817,--,1
4277,9930,15818,--,1
4278,9931,15819,--,1
4279,9932,15820,--,1
4280,9933,15821,--,1
4281,9934,15822,--,1
4282,9935,15823,--,1
4283,9936,15824,--,1
4284,9937,15825,--,1
4285,9938,15826,--,1
4286,9939,15827,--,1
4287,9992,15828,--,1
4288,9993,15829,--,1
4289,7162,15830,--,1
4290,7163,15831,--,1
4291,7164,15832,--,1
4292,7165,15833,--,1
4293,7166,15834,--,1
4294,7167,15835,--,1
4295,7168,15836,--,1
4296,7169,15837,--,1
4297,7170,15838,--,1
4298,7171,15839,--,1
4299,7172,15840,--,1
4300,7173,15841,--,1
4301,7174,15842,--,1
4302,7175,15843,--,1
4303,7176,15844,--,1
4304,7177,15845,--,1
4305,7178,15846,--,1
4306,7179,15847,--,1
4307,7180,15848,--,1
4308,7181,15849,--,1
4309,9191,15850,--,1
4310,7298,15851,--,1
4311,7626,15852,--,1
4312,7627,15853,--,1
4313,9251,15854,--,1
4314,6960,15855,--,1
4315,6970,15856,--,1
4316,6971,15857,--,1
4317,6972,15858,--,1
4318,6973,15859,--,1
4319,6974,15860,--,1
4320,6975,15861,--,1
4321,6976,15862,--,1
4322,6977,15863,--,1
4323,8069,15864,--,1
4324,8070,15865,--,1
4325,8071,15866,--,1
4326,8072,15867,--,1
4327,8073,15868,--,1
4328,9490,15869,--,1
4329,9492,15870,--,1
4330,9493,15871,--,1
4331,9494,15872,--,1
4332,9495,15873,--,1
4333,9491,15874,--,1
4334,9496,15875,--,1
4335,7474,15876,--,1
4336,7949,15877,--,1
4337,7950,15878,--,1
4338,7954,15879,--,1
4339,7969,15880,--,1
4340,9085,15881,--,1
4341,9086,15882,--,1
4342,9087,15883,--,1
4343,9088,15884,--,1
4344,9089,15885,--,1
4345,9090,15886,--,1
4346,9091,15887,--,1
4347,9092,15888,--,1
4348,9093,15889,--,1
